slug,path,family,parent_project_slug,title,meta_title,meta_description,summary,primary_intent,jurisdiction,primary_source_id,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,batch_status,parent_approved_document
do-i-need-building-regulations-for-single-storey-extension,/questions/do-i-need-building-regulations-for-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,Do I need building regulations for Single-storey extension?,Do I need building regulations for Single-storey extension,"Check whether single-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether single-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-single-storey-extension,/questions/building-notice-or-full-plans-for-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,Building notice or full plans for Single-storey extension?,Building notice or full plans for Single-storey extension?,"Compare building notice and full plans routes for single-storey extension, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for single-storey extension, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-single-storey-extension,/questions/building-control-inspections-for-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,Building control inspections for Single-storey extension,Building control inspections for Single-storey extension,"See the likely inspection stages for single-storey extension, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for single-storey extension, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-single-storey-extension,/questions/completion-certificate-for-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,Completion certificate for Single-storey extension,Completion certificate for Single-storey extension,"Understand how the completion certificate stage normally works for single-storey extension, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for single-storey extension, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-single-storey-extension,/questions/what-documents-do-i-need-for-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,What documents do I need for Single-storey extension?,What documents do I need for Single-storey extension?,"Prepare drawings, calculations, certificates, installer details and evidence for single-storey extension.","Prepare drawings, calculations, certificates, installer details and evidence for single-storey extension.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-single-storey-extension,/questions/common-building-regs-mistakes-single-storey-extension/,programmatic_question_page,single-storey-extension-building-regulations,Common building regulations mistakes with Single-storey extension,Common building regulations mistakes with Single-storey ex,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on single-storey extension.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on single-storey extension.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/single-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-two-storey-extension,/questions/do-i-need-building-regulations-for-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,Do I need building regulations for Two-storey extension?,Do I need building regulations for Two-storey extension?,"Check whether two-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether two-storey extension usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-two-storey-extension,/questions/building-notice-or-full-plans-for-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,Building notice or full plans for Two-storey extension?,Building notice or full plans for Two-storey extension?,"Compare building notice and full plans routes for two-storey extension, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for two-storey extension, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-two-storey-extension,/questions/building-control-inspections-for-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,Building control inspections for Two-storey extension,Building control inspections for Two-storey extension,"See the likely inspection stages for two-storey extension, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for two-storey extension, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-two-storey-extension,/questions/completion-certificate-for-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,Completion certificate for Two-storey extension,Completion certificate for Two-storey extension,"Understand how the completion certificate stage normally works for two-storey extension, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for two-storey extension, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
