slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
home,/,homepage,Building regulations checker for UK home projects,Building regulations checker for UK home projects,"Start here to check whether your home project is likely to need building regulations approval, which route to use, and what proof to keep.","Start here to check whether your home project is likely to need building regulations approval, which route to use, and what proof to keep.",England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
building-regulations,/building-regulations/,hub,Building regulations for home projects,Building regulations for home projects,"Plain-English guide to building regulations approval, building control, certificates, inspections and planning handoffs.","Plain-English guide to building regulations approval, building control, certificates, inspections and planning handoffs.",England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
do-i-need-building-regulations-approval,/building-regulations/do-i-need-building-regulations-approval/,guide,Do I need building regulations approval?,Do I need building regulations approval?,Answer-first guide for common home works and when building control or a competent person route may be needed.,Answer-first guide for common home works and when building control or a competent person route may be needed.,England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
planning-permission-vs-building-regulations,/building-regulations/planning-permission-vs-building-regulations/,guide,Planning permission vs building regulations,Planning permission vs building regulations,Explains the two separate tracks and when a project can need both.,Explains the two separate tracks and when a project can need both.,England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
building-control-body,/building-regulations/building-control-body/,guide,What is a building control body?,What is a building control body?,"Explains local authority building control, registered building control approvers and when BSR applies.","Explains local authority building control, registered building control approvers and when BSR applies.",England-first,govuk_how_to_apply,application_route,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
local-authority-building-control-vs-registered-approver,/building-regulations/local-authority-building-control-vs-registered-approver/,guide,Local authority building control vs registered approver,Local authority building control vs registered approver,Compares the two common building-control routes for domestic non-HRB projects.,Compares the two common building-control routes for domestic non-HRB projects.,England-first,govuk_how_to_apply,application_route,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
full-plans-application,/building-regulations/full-plans-application/,approval_route,Full plans building regulations application,Full plans building regulations application,When full plans can give more certainty before work starts and what documents are usually needed.,When full plans can give more certainty before work starts and what documents are usually needed.,England-first,govuk_how_to_apply,application_route,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
building-notice,/building-regulations/building-notice/,approval_route,Building notice for building regulations,Building notice for building regulations,When a building notice may suit smaller domestic works and what risk remains.,When a building notice may suit smaller domestic works and what risk remains.,England-first,planning_portal_building_notice,building_notice,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
full-plans-vs-building-notice,/building-regulations/full-plans-vs-building-notice/,approval_route,Full plans vs building notice,Full plans vs building notice,"Practical comparison for extensions, lofts, garages and structural alterations.","Practical comparison for extensions, lofts, garages and structural alterations.",England-first,planning_portal_building_notice,building_notice,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
regularisation-certificate,/building-regulations/regularisation-certificate/,approval_route,Regularisation certificate for unauthorised building work,Regularisation certificate for unauthorised building work,What to do if building work was already done without approval or records are missing.,What to do if building work was already done without approval or records are missing.,England-first,govuk_how_to_apply,application_route,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
