asset_id,title,category,category_label,primary_project,url,format_target,lead_value,requires_tool_input,source_guardrail,purpose
building-regs-before-you-start-checklist,Building regs before-you-start checklist,before_you_start,Before-you-start packs,All projects,/downloads/building-regs-before-you-start-checklist/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,Top-of-funnel lead magnet and universal CTA.
planning-vs-building-regs-one-page-comparison,Planning permission vs building regulations one-page comparison,before_you_start,Before-you-start packs,All projects,/downloads/planning-vs-building-regs-one-page-comparison/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,Cross-site link bridge to UKPlanningGuide.
building-control-route-decision-sheet,Building control route decision sheet,before_you_start,Before-you-start packs,All projects,/downloads/building-control-route-decision-sheet/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,Pairs with route checker tool.
homeowner-building-regs-risk-audit,Homeowner building regs risk audit,before_you_start,Before-you-start packs,All projects,/downloads/homeowner-building-regs-risk-audit/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,High-retention audit checklist.
pre-start-conversation-script-for-builders,Pre-start conversation script for builders,before_you_start,Before-you-start packs,All projects,/downloads/pre-start-conversation-script-for-builders/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,Useful printable for non-technical users.
building-control-application-prep-sheet,Building control application prep sheet,before_you_start,Before-you-start packs,Application routes,/downloads/building-control-application-prep-sheet/,html_printable_then_pdf_optional,high,optional,show official source and generated-date panel,Practical conversion asset.
extension-building-control-prep-pack,Extension building control prep pack,project_specific,Project-specific checklists,Extensions,/downloads/extension-building-control-prep-pack/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Core high-value project pack.
single-storey-extension-site-checklist,Single-storey extension site checklist,project_specific,Project-specific checklists,Single-storey extensions,/downloads/single-storey-extension-site-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Project long-tail printable.
two-storey-extension-risk-checklist,Two-storey extension risk checklist,project_specific,Project-specific checklists,Two-storey extensions,/downloads/two-storey-extension-risk-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Project long-tail printable.
loft-conversion-fire-and-structure-checklist,Loft conversion fire and structure checklist,project_specific,Project-specific checklists,Loft conversions,/downloads/loft-conversion-fire-and-structure-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Core high-value project pack.
garage-conversion-building-regs-pack,Garage conversion building regs pack,project_specific,Project-specific checklists,Garage conversions,/downloads/garage-conversion-building-regs-pack/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Core high-value project pack.
