source_path,target_path,anchor,reason,placement
/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Homepage should route into core project pages.,hub_card
/projects/single-storey-extension-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/single-storey-extension-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/single-storey-extension-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/single-storey-extension-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Single-storey extension building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document A is relevant to Single-storey extension building regulations.,related_project
/projects/single-storey-extension-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Single-storey extension building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document B is relevant to Single-storey extension building regulations.,related_project
/projects/single-storey-extension-building-regulations/,/approved-documents/c-site-preparation-moisture/,"Approved Document C: Site preparation, contaminants and moisture",Single-storey extension building regulations references Approved Document C.,contextual
/approved-documents/c-site-preparation-moisture/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document C is relevant to Single-storey extension building regulations.,related_project
/projects/single-storey-extension-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Single-storey extension building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document F is relevant to Single-storey extension building regulations.,related_project
/projects/single-storey-extension-building-regulations/,/approved-documents/g-sanitation-hot-water-water-efficiency/,"Approved Document G: Sanitation, hot water safety and water efficiency",Single-storey extension building regulations references Approved Document G.,contextual
/approved-documents/g-sanitation-hot-water-water-efficiency/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document G is relevant to Single-storey extension building regulations.,related_project
/projects/single-storey-extension-building-regulations/,/approved-documents/h-drainage-waste/,Approved Document H: Drainage and waste disposal,Single-storey extension building regulations references Approved Document H.,contextual
