url,title,primary_h1,intro_angle,primary_cta,secondary_cta,tool_cta,internal_links,source_warning_required
/downloads/building-regs-before-you-start-checklist/,Building regs before-you-start checklist,Building regs before-you-start checklist,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/planning-vs-building-regs-one-page-comparison/,Planning permission vs building regulations one-page comparison,Planning permission vs building regulations one-page comparison,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/building-control-route-decision-sheet/,Building control route decision sheet,Building control route decision sheet,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/homeowner-building-regs-risk-audit/,Homeowner building regs risk audit,Homeowner building regs risk audit,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/pre-start-conversation-script-for-builders/,Pre-start conversation script for builders,Pre-start conversation script for builders,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/building-control-application-prep-sheet/,Building control application prep sheet,Building control application prep sheet,A practical printable for application routes that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/extension-building-control-prep-pack/,Extension building control prep pack,Extension building control prep pack,A practical printable for extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/single-storey-extension-site-checklist/,Single-storey extension site checklist,Single-storey extension site checklist,A practical printable for single-storey extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/two-storey-extension-risk-checklist/,Two-storey extension risk checklist,Two-storey extension risk checklist,A practical printable for two-storey extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/loft-conversion-fire-and-structure-checklist/,Loft conversion fire and structure checklist,Loft conversion fire and structure checklist,A practical printable for loft conversions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
