id,phase,group,title,priority,codex_instruction,inputs,done_when,depends_on
BRG-001,P0,Repository reset and ingestion,Create site constants and source registry import,critical,"Wire domains, jurisdictions, source IDs, version labels and canonical base URL.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",none
BRG-002,P0,Repository reset and ingestion,Import cumulative route registries,critical,Load route_registry_v5_candidate_combined.json but publish only pages that pass the gate.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",none
BRG-003,P0,Repository reset and ingestion,Import tool and download registries,critical,"Map tools/downloads to routes, CTAs and related content blocks.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",none
BRG-004,P0,Repository reset and ingestion,Implement shared layout shell,critical,"Header, footer, breadcrumbs, source/version panel, warning boxes, related links and CTA slots.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",none
BRG-005,P0,Repository reset and ingestion,Create content object contract,critical,"One object per page: title, summary, jurisdiction, official sources, body blocks, FAQs, related links, schema type.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",none
BRG-006,P1,Launch core pages,Build homepage and start-here flow,critical,"Create a user-first route from project type to approval route, tools and downloads.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-007,P1,Launch core pages,Build planning-vs-building-regs hub,critical,Make the cross-site handoff to UKPlanningGuide clear and restrained.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-008,P1,Launch core pages,Build project hubs,critical,"Extension, loft, garage conversion, structural alterations, windows/doors, boiler, electrics, bathrooms, kitchen, rooflight.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-009,P1,Launch core pages,Build Approved Document hubs,critical,"Add AD A, B, C, F, G, H, J, K, L, M, P as launch-priority hubs with source/version blocks.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-010,P1,Launch core pages,Add FAQ blocks to core pages,critical,Use practical homeowner questions without pretending to give formal approvals.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-011,P2,Tools and result pages,Implement building control route checker,critical,"Use decision rules from batches 2-5 and return confidence, red flags, sources and next actions.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-012,P2,Tools and result pages,Implement full plans vs building notice checker,critical,Route high-risk/complex projects to full plans or specialist advice.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-013,P2,Tools and result pages,Implement competent person checker,critical,Identify when CPS may apply and what certificate to request.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-014,P2,Tools and result pages,Implement completion certificate readiness checker,critical,Create missing-evidence list and certificate chaser actions.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-015,P2,Tools and result pages,Implement Approved Document router,critical,Map project signals to relevant AD hubs and downloads.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-016,P2,Tools and result pages,Create shareable/printable result component,critical,"Result summary, date generated, sources, warning, downloads, next pages and save-to-dashboard button.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-017,P3,Downloads and dashboard,Generate markdown-to-HTML/PDF download pages,high,Convert the 48 download specs to indexable pages and printable assets.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
